"Freq","n","measure","mean","se_type","se"
0,595,"confidence",3.84122784999167,"se_confidence",0.0331100666983623
0,595,"OCI",20.0848739495798,"se_OCI",0.454823105796073
0,595,"CIT",-0.0173210152732484,"se_CIT",0.0322902259162625
1,45,"confidence",4.11703703703704,"se_confidence",0.124893274385332
1,45,"OCI",23.6777777777778,"se_OCI",2.10939191029095
1,45,"CIT",0.149766114884372,"se_CIT",0.130131405054202
4,7,"confidence",4.30197897340754,"se_confidence",0.361358429280051
4,7,"OCI",24.9285714285714,"se_OCI",2.26102739876349
4,7,"CIT",0.353292095348442,"se_CIT",0.330116766053883
6,2,"confidence",4.55833333333334,"se_confidence",0.0297619047619051
6,2,"OCI",47.5,"se_OCI",4
6,2,"CIT",1.1173503202269,"se_CIT",0.518824962088328
